group,file,path,width,height,aspect,bucket,brightness_mean,brightness_std,saturation_mean,saturation_std,edge_density,top_edge,mid_edge,bottom_edge,top_minus_mid_edge,bottom_minus_mid_edge,dominant_1,dominant_1_pct,dominant_2,dominant_2_pct,dominant_3,dominant_3_pct,palette
其他,b85a6962990d1a2ce9a1ec3ed4d952a8.jpg,C:\Users\27504\Desktop\电影海报\其他\b85a6962990d1a2ce9a1ec3ed4d952a8.jpg,1280,2026,0.632,poster_vertical,118.91,56.63,0.182,0.152,0.019,0.0157,0.0236,0.0189,-0.008,-0.0047,#65544a,0.309,#423630,0.217,#8c817a,0.197,#65544a:0.31;#423630:0.22;#8c817a:0.20;#c7b2ad:0.15;#d8d1cf:0.12
其他,c6903d666d6327a86cc6152dea1f52a6.jpg,C:\Users\27504\Desktop\电影海报\其他\c6903d666d6327a86cc6152dea1f52a6.jpg,1280,1979,0.647,poster_vertical,143.08,93.1,0.389,0.357,0.0202,0.015,0.0167,0.0174,-0.0017,0.0007,#1f100f,0.27,#c63613,0.233,#f9eaea,0.199,#1f100f:0.27;#c63613:0.23;#f9eaea:0.20;#efd3ce:0.16;#faf0f2:0.13
其他,c988b76d8e4ceeca4ed4aa9395aa4790.jpg,C:\Users\27504\Desktop\电影海报\其他\c988b76d8e4ceeca4ed4aa9395aa4790.jpg,1280,1831,0.699,poster_vertical,134.54,74.02,0.34,0.286,0.0411,0.0508,0.0273,0.0618,0.0235,0.0345,#8c5744,0.262,#481e1b,0.258,#dbd8d8,0.206,#8c5744:0.26;#481e1b:0.26;#dbd8d8:0.21;#c3a79b:0.15;#e1e0df:0.13
其他,ea0d06575cd13d95b30734e887d06e41.jpg,C:\Users\27504\Desktop\电影海报\其他\ea0d06575cd13d95b30734e887d06e41.jpg,1280,1896,0.675,poster_vertical,141.7,54.37,0.846,0.258,0.0237,0.0206,0.0338,0.0075,-0.0132,-0.0263,#f2b305,0.396,#b80a13,0.253,#bc8239,0.161,#f2b305:0.40;#b80a13:0.25;#bc8239:0.16;#eeb00e:0.12;#f0c240:0.07
其他,eb280ab1f38e761d5d5b41db45b1c370.jpg,C:\Users\27504\Desktop\电影海报\其他\eb280ab1f38e761d5d5b41db45b1c370.jpg,1080,1600,0.675,poster_vertical,148.53,50.71,0.477,0.251,0.0226,0.0212,0.0267,0.0212,-0.0055,-0.0055,#eb506e,0.3,#eadad4,0.256,#ea4766,0.213,#eb506e:0.30;#eadad4:0.26;#ea4766:0.21;#e5657d:0.14;#ad3e5a:0.09
其他,f3330fadee22379e360644f5ff027239.jpg,C:\Users\27504\Desktop\电影海报\其他\f3330fadee22379e360644f5ff027239.jpg,1080,1600,0.675,poster_vertical,91.79,42.65,0.325,0.069,0.032,0.0251,0.035,0.0279,-0.0098,-0.007,#73584e,0.282,#503e37,0.186,#b18a7e,0.186,#73584e:0.28;#503e37:0.19;#b18a7e:0.19;#3f2f2a:0.18;#5f463e:0.16
其他,f5dbf2c939be0898e4609f74e021bb53.jpg,C:\Users\27504\Desktop\电影海报\其他\f5dbf2c939be0898e4609f74e021bb53.jpg,1280,1738,0.736,poster_vertical,58.39,49.08,0.151,0.189,0.0329,0.0509,0.0179,0.045,0.033,0.0272,#424348,0.247,#0c0a0d,0.227,#7a7f84,0.218,#424348:0.25;#0c0a0d:0.23;#7a7f84:0.22;#262529:0.16;#18171a:0.15
其他,f66f0cb895983af9d47f5a0d93c838d2.jpg,C:\Users\27504\Desktop\电影海报\其他\f66f0cb895983af9d47f5a0d93c838d2.jpg,800,1236,0.647,poster_vertical,96.3,46.69,0.421,0.309,0.0149,0.0186,0.0123,0.0212,0.0063,0.0089,#2d2b2e,0.311,#b56f3a,0.285,#d58646,0.261,#2d2b2e:0.31;#b56f3a:0.29;#d58646:0.26;#564133:0.07;#2b2b2c:0.07
其他,v2-0726525889dcf8707b9538d3e2f696e3_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-0726525889dcf8707b9538d3e2f696e3_1440w.jpg,600,885,0.678,poster_vertical,122.36,87.59,0.215,0.271,0.0302,0.0305,0.0409,0.0469,-0.0105,0.006,#0b0709,0.282,#d8d5d5,0.237,#504752,0.208,#0b0709:0.28;#d8d5d5:0.24;#504752:0.21;#bfbec0:0.15;#dad8d7:0.13
其他,v2-0a0fb392ddf69de5303467963180faf0_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-0a0fb392ddf69de5303467963180faf0_1440w.jpg,600,888,0.676,poster_vertical,96.43,67.05,0.51,0.195,0.0375,0.0506,0.0353,0.0375,0.0153,0.0022,#d5af84,0.27,#1c150f,0.222,#a8784b,0.203,#d5af84:0.27;#1c150f:0.22;#a8784b:0.20;#412116:0.17;#573723:0.14
其他,v2-16fdf5368491202a37a83e8aa2f042c4_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-16fdf5368491202a37a83e8aa2f042c4_1440w.jpg,600,944,0.636,poster_vertical,134.85,67.69,0.558,0.345,0.0619,0.0375,0.0876,0.0301,-0.0502,-0.0575,#ede4e4,0.25,#e53526,0.217,#e12b24,0.217,#ede4e4:0.25;#e53526:0.22;#e12b24:0.22;#d46b63:0.20;#9f2120:0.11
其他,v2-1d269b650ee6d758a086197a58c424fd_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-1d269b650ee6d758a086197a58c424fd_1440w.jpg,600,888,0.676,poster_vertical,46.79,69.24,0.224,0.278,0.0493,0.0296,0.0733,0.0219,-0.0437,-0.0514,#202427,0.266,#000000,0.231,#07080b,0.186,#202427:0.27;#000000:0.23;#07080b:0.19;#8c9395:0.18;#020203:0.13
其他,v2-370a810a3e046e12854bbb5fa2b957b1_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-370a810a3e046e12854bbb5fa2b957b1_1440w.jpg,600,915,0.656,poster_vertical,62.22,93.4,0.627,0.414,0.0204,0.0149,0.0159,0.0406,-0.001,0.0247,#000106,0.365,#cdccc0,0.275,#010107,0.208,#000106:0.37;#cdccc0:0.27;#010107:0.21;#090d0e:0.12;#000003:0.03
其他,v2-419d6cbbc498a88381731be34e00e53e_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-419d6cbbc498a88381731be34e00e53e_1440w.jpg,600,895,0.67,poster_vertical,154.9,98.07,0.209,0.282,0.0552,0.0414,0.0604,0.0661,-0.0191,0.0056,#241614,0.286,#ffffff,0.272,#89624e,0.212,#241614:0.29;#ffffff:0.27;#89624e:0.21;#eae4da:0.14;#feffff:0.09
其他,v2-494b58a57907d64d22a452662b4af27e_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-494b58a57907d64d22a452662b4af27e_1440w.jpg,600,888,0.676,poster_vertical,186.1,63.29,0.207,0.295,0.0844,0.0938,0.0784,0.0895,0.0154,0.0112,#e3dce3,0.256,#cdafac,0.235,#a14a4d,0.234,#e3dce3:0.26;#cdafac:0.24;#a14a4d:0.23;#f0f0f2:0.14;#eceaed:0.14
其他,v2-5aca4ccc1ba87b36885cec1250671f7e_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-5aca4ccc1ba87b36885cec1250671f7e_1440w.jpg,600,912,0.658,poster_vertical,58.76,90.32,0.739,0.424,0.0164,0.0182,0.0185,0.0113,-0.0003,-0.0071,#040500,0.58,#c2bdbe,0.226,#670101,0.122,#040500:0.58;#c2bdbe:0.23;#670101:0.12;#020501:0.05;#450505:0.02
其他,v2-809f181eb4a44515e2c2082e8f87d1df_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-809f181eb4a44515e2c2082e8f87d1df_1440w.jpg,1440,2164,0.665,poster_vertical,87.82,73.7,0.598,0.438,0.0221,0.0117,0.0173,0.0425,-0.0056,0.0253,#e10000,0.365,#e7b9a6,0.244,#030000,0.239,#e10000:0.37;#e7b9a6:0.24;#030000:0.24;#9f301b:0.09;#e40000:0.06
其他,v2-93de1013b44b4668e50ecde7fc39f6c8_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-93de1013b44b4668e50ecde7fc39f6c8_1440w.jpg,600,901,0.666,poster_vertical,112.6,115.63,0.116,0.282,0.0212,0.0229,0.0199,0.0354,0.003,0.0155,#010101,0.395,#f8fafa,0.371,#240705,0.103,#010101:0.39;#f8fafa:0.37;#240705:0.10;#c3c3c0:0.10;#000000:0.03
其他,v2-96052e1a3478cc4d9a785b213fb2c2b8_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-96052e1a3478cc4d9a785b213fb2c2b8_1440w.jpg,600,870,0.69,poster_vertical,101.35,55.26,0.511,0.164,0.0248,0.0243,0.0258,0.0355,-0.0015,0.0097,#311b43,0.27,#4a436d,0.246,#90c6df,0.199,#311b43:0.27;#4a436d:0.25;#90c6df:0.20;#6279a0:0.19;#48bec5:0.09
其他,v2-9e36c725ba6378f788b5879101519341_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-9e36c725ba6378f788b5879101519341_1440w.jpg,600,909,0.66,poster_vertical,94.75,86.05,0.343,0.348,0.0426,0.0319,0.0493,0.0628,-0.0175,0.0134,#d0d0d7,0.292,#010914,0.291,#887b7f,0.18,#d0d0d7:0.29;#010914:0.29;#887b7f:0.18;#04122b:0.12;#36252d:0.12
